eventname,outcome,type,compiledgametime,video_frame,playsection,zone,manpowersituation,goal,so_goal,teamid,playerid,opposingteamgoalieoniceid,xadjcoord,yadjcoord
faceoff,successful,recovered,1841.8,64229,eastOuterSlotDZ,dz,evenStrength,0,0,32522,1590589,320320,-69.1008758544922,-21.8794116973877
faceoff,failed,none,1841.8,64229,eastOuterSlot,oz,evenStrength,0,0,1212,109109,9993984,69.1008758544922,21.8794116973877
shot,failed,outsideblocked,1851.5,64520,centerPoint,oz,evenStrength,0,0,1212,12789777,9993984,33.8949890136719,4.27647018432617
faceoff,successful,recoveredwithslotshot,1860.0667,65883,westOuterSlot,oz,powerPlay,0,0,1212,711711,9993984,69.1008758544922,-22.3794097900391
faceoff,failed,none,1860.0667,65883,westOuterSlotDZ,dz,shortHanded,0,0,32522,1590589,320320,-69.1008758544922,22.3794097900391
shot,failed,slotblocked,1865.0333,66032,westOuterSlot,oz,powerPlay,0,0,1212,12789777,9993984,56.0244026184082,-20.8705902099609
controlledentryagainst,failed,2on3,1896.3,66970,eastPointDZ,dz,shortHanded,0,0,32522,170170,320320,-44.9596977233887,-8.29999923706055
controlledentryagainst,successful,2on3,1911.4667,67425,westPointDZ,dz,powerPlay,0,0,1212,12789777,9993984,-32.9970550537109,31.9312572479248
controlledentryagainst,successful,3on3,1937.8,68215,westPointDZ,dz,shortHanded,0,0,32522,10176166,320320,-30.8773422241211,18.8588218688965
controlledentryagainst,successful,1on2,1976.1333,69365,westPointDZ,dz,powerPlay,0,0,1212,1349348,9993984,-38.0256042480469,15.3411769866943
shot,successful,slot,1983.5,69586,westOuterSlot,oz,evenStrength,0,0,32522,170170,320320,69.7117614746094,-17.3459625244141
